year,city,country,avg_temp,mov_avg_Cairo,mov_avg_Global
1990,Cairo,Egypt,21.6,21.512,8.92
1991,Cairo,Egypt,21.65,21.488,9.034
1992,Cairo,Egypt,21.11,21.514,9.104
1993,Cairo,Egypt,21.79,21.488,9.074
1994,Cairo,Egypt,22.02,21.516,9.008
1995,Cairo,Egypt,21.56,21.634,9.032
1996,Cairo,Egypt,21.88,21.626,9.056
1997,Cairo,Egypt,21.45,21.672,9.028
1998,Cairo,Egypt,22.36,21.74,9.1
1999,Cairo,Egypt,22.28,21.854,9.23
2000,Cairo,Egypt,21.49,21.906,9.28
2001,Cairo,Egypt,22.33,21.892,9.25
2002,Cairo,Egypt,22.41,21.982,9.324
2003,Cairo,Egypt,22.17,22.174,9.398
2004,Cairo,Egypt,22.08,22.136,9.4
2005,Cairo,Egypt,22.01,22.096,9.406
2006,Cairo,Egypt,22.05,22.2,9.506
2007,Cairo,Egypt,22.36,22.144,9.53
2008,Cairo,Egypt,22.64,22.134,9.562
2009,Cairo,Egypt,22.63,22.228,9.542
2010,Cairo,Egypt,23.72,22.338,9.58
2011,Cairo,Egypt,21.99,22.68,9.58
2012,Cairo,Egypt,22.48,22.668,9.578
2013,Cairo,Egypt,22.91,22.692,9.534
